Medical_Term,Frequency
entire,440
branch,440
unit,439
tip,438
gallbladder,438
rectal,438
creatinine,437
pulses,437
hemoglobin,437
went,436
visit,435
results,435
diet,435
main,435
eyes,433
evaluated,432
plate,431
appear,431
take,431
little,431
explained,430
stress,427
entered,427
cautery,426
began,424
palpable,424
therefore,423
screw,422
diagnosed,422
nerves,421
reactive,421
disk,421
third,421
mmhg,421
clinical,419
grossly,418
capsule,417
needed,417
nylon,417
limits,416
consultation,415
gait,414
units,414
complaints,413
marked,412
blunt,411
via,411
fat,410
foley,410
grasped,409
physician,408
new,408
created,405
reduction,404
pleasant,404
tear,403
peripheral,403
manner,402
similar,402
utilizing,401
patent,401
five,401
process,401
saw,400
recommended,399
headaches,399
images,399
scalpel,399
repeat,398
initial,397
syndrome,397
improved,396
regarding,396
report,395
epinephrine,395
later,395
abcd,394
monocryl,394
guidewire,394
help,391
drainage,390
temporal,390
old,390
ekg,389
counts,389
remaining,389
tunnel,388
addition,387
murmur,387
lives,386
inguinal,386
except,386
intraoperative,386
twice,385
irrigation,384
insertion,384
remove,384
sensation,383
bed,383
vessels,382
neurological,382
bony,381
cranial,380
layer,379
diagnostic,378
musculoskeletal,378
degenerative,377
numbness,377
cervix,377
distally,377
came,375
respirations,375
obstruction,374
feet,374
testing,372
vertebral,372
related,372
erythema,370
gross,370
proximally,369
enlarged,369
based,369
laparoscopic,369
balloon,369
retracted,368
controlled,368
child,367
month,367
tibial,366
ligated,366
asked,366
partial,365
silk,365
mom,365
final,365
palpation,363
fixation,363
suite,362
potassium,362
psychiatric,361
diarrhea,361
decompression,359
put,359
order,359
oxygen,358
residual,356
indication,355
guide,355
close,355
face,354
oropharynx,354
management,354
excised,353
antibiotic,353
told,353
carcinoma,352
trocar,352
stitch,351
obvious,351
inspected,351
delivery,351
defect,349
referred,349
outpatient,349
instructions,348
easily,347
single,345
positioned,345
systolic,345
red,345
glucose,344
adhesions,344
bypass,344
sac,344
clamp,343
thought,343
problem,343
root,343
movements,342
gentleman,342
probably,341
way,341
bipolar,341
normocephalic,341
rectus,340
esophagus,340
excision,339
nodes,338
layers,337
structures,337
aspirin,337
bit,337
focal,337
underlying,336
utilized,336
depression,336
copiously,336
please,335
chills,334
died,334
limited,333
hearing,332
chamber,332
stage,331
ulnar,331
released,331
baby,331
membranes,331
fibrillation,330
cyanosis,330
complex,329
extubated,328
discomfort,328
increase,327
apparently,327
pregnancy,326
ventricle,326
copious,326
effusion,325
anteriorly,324
deformity,324
remained,323
somewhat,323
minute,322
show,322
reapproximated,321
superficial,321
another,321
resected,321
anastomosis,320
suction,320
field,320
teeth,319
circumflex,318
fifth,318
poor,318
pleural,317
parents,317
appearance,317
worse,316
segment,315
